SMILES,Name,Pubchem_ID,CAS-RN,Tb,Tb_source,GHS_signal,298.15,298.150025,298.15004999999996,298.1500749999999,298.15009999999995,Mean,ln_gamma_inf_ij_,ln_gamma_inf_ik_,ln_gamma_inf_ji_,ln_gamma_inf_jk_,ln_gamma_inf_ki_,ln_gamma_inf_kj_,MW,Rank
COC(=O)n1cccc1,"1-PYRROLECARBOXYLIC ACID, METHYL ESTER",77962.0,['4277-63-8'],442.15,COMMON_CHEMISTRY,Warning,0.8590849732215629,0.8590848723329536,0.8590847714443655,0.859084670555798,0.8590845696672507,0.8590847714443861,0.37775531667935025,2.2006056614356844,0.306579173295055,1.0902310717361765,0.9383433960674725,0.8411951628838175,125.12699999999997,58
CCS(C)(=O)=O,"SULFONE, ETHYL, METHYL",79059.0,['594-43-4'],247.24,JOBACK,Warning,0.8110677274756148,0.8110676178218404,0.8110675081680906,0.8110673985143654,0.8110672888606639,0.8110675081681151,0.377753753374331,0.7086821707671584,0.3065794117136341,0.32544544220981636,0.11604145452995311,0.2738006130038664,108.16199999999999,59
O=Cc1cccs1,2-THIOPHENECARBOXALDEHYDE,7364.0,['98-03-3'],472.15,CRC_ORG,Warning,0.7719574279227391,0.7719573713012725,0.7719573146798153,0.7719572580583671,0.771957201436928,0.7719573146798244,0.3777535149557519,1.133695047372679,0.3065794117136341,0.46268979122374293,0.20386376887221275,0.001908050860884547,112.15299999999999,60
CC(=O)C1CCOC1=O,"BUTANOIC ACID, 2-ACETYL, 4-HYDROXY, GAMMA-LACTONE",10601.0,"['517-23-7', '517-23-7', '313643-49-1']",415.15,COMMON_CHEMISTRY,Warning,0.7416731467408072,0.7416731308993232,0.7416731150578406,0.7416730992163599,0.7416730833748809,0.7416731150578424,0.3777542302114892,1.4139385632779302,0.3065796501322132,0.8825420647766264,0.5836953861489353,0.7378756650872318,128.127,61
Cc1ccno1,"ISOXAZOLE, 5-METHYL",79833.0,['5765-44-6'],396.15,CRC_ORG,Warning,0.730255327329855,0.7302552780842917,0.7302552288387364,0.7302551795931884,0.7302551303476482,0.7302552288387439,0.37775531667935025,1.379228374118472,0.3065794117136341,0.6379612760270506,0.3236000986277527,0.4053204431196706,83.09,62
OC/C=C/CO,"2-BUTENE, 1,4-DIOL",175854.0,"['821-11-4', '110-64-5', '110-64-5']",404.15,COMMON_CHEMISTRY,Warning,0.7300439729695678,0.7300439995241578,0.730044026078746,0.730044052633333,0.7300440791879188,0.7300440260787447,0.37775555509792935,1.8986058785455313,0.3065794117136341,-0.28032103242369116,-0.5949714693850389,-0.5166325622556356,88.10600000000001,63
Cc1nonc1C,"FURAZAN, 3,4-DIMETHYL",138397.0,['4975-21-7'],429.15,YAWS,Warning,0.7049576061463594,0.7049575659223405,0.7049575256983276,0.7049574854743205,0.7049574452503192,0.7049575256983334,0.37775555509792935,1.5592597079720683,0.3065796501322132,1.0362596786776688,0.6866419534564528,0.6661370552678517,98.10499999999999,64
CN1CCN(C=O)CC1,"PIPERAZINE, 1-FORMYL, 4-METHYL",3269221.0,['7556-55-0'],426.1,JOBACK,Warning,0.670418308107121,0.6704182665889802,0.6704182250708458,0.6704181835527178,0.6704181420345956,0.670418225070852,0.377753753374331,1.3524341308013563,0.3065794117136341,0.798393757779077,0.39854021296351005,0.3248655332768787,128.17499999999998,65
CC(=O)OCOC(C)=O,"METHANEDIOL, DIACETATE",12345.0,"['628-51-3', '02-00-0']",443.15,COMMON_CHEMISTRY,Warning,0.639171299985297,0.6391713617573983,0.6391714235294997,0.6391714853016016,0.6391715470737044,0.6391714235295002,0.37775531667935025,1.1405180142355118,0.3065789348764759,1.0310847245800665,0.5835021324321854,0.9658134260506361,132.115,66
CC(=O)C(C)C#N,"PROPANOIC ACID, 2-ACETYL, NITRILE",536905.0,['4468-47-7'],469.51,JOBACK,Warning,0.6075478169235398,0.6075477916046299,0.6075477662857234,0.6075477409668203,0.6075477156479202,0.6075477662857267,0.37775483984219205,1.133577750789442,0.3065789348764759,0.6777347375836467,0.17941025835604701,0.24521651252385182,97.117,67
CN(C)CCC#N,"PROPANOIC ACID, 3(DIMETHYLAMINO), NITRILE",15615.0,"['1738-25-6', '1138-25-6', '1738-25-6']",450.15,CRC_ORG,Warning,0.5826700447416617,0.5826700549089703,0.582670065076278,0.5826700752435852,0.5826700854108918,0.5826700650762774,0.37775555509792935,1.43310129442326,0.3065794117136341,1.3346659919453239,0.7945318130043223,1.0199027797433495,98.149,68
CC(=O)CCC(C)=O,"2,5-HEXANEDIONE",8035.0,"['110-13-4', '01-00-0', '110-13-4']",467.15,CRC_ORG,Warning,0.557191785192406,0.5571918164425689,0.5571918476927312,0.5571918789428922,0.5571919101930525,0.5571918476927301,0.3777539917929101,1.64131349428069,0.3065796501322132,1.2661339925526023,0.6812883245232987,1.0965500684639982,114.14399999999999,69
N#CCCNCCC#N,"PROPANOIC ACID, 3,3'-IMINODI, DINITRILE",8149.0,"['111-94-4', '68412-52-2', '111-94-4']",446.15,YAWS,Warning,0.5449433885584104,0.5449434245781496,0.5449434605978881,0.5449434966176258,0.544943532637363,0.5449434605978873,0.37775483984219205,1.7145900358553974,0.3065794117136341,0.5508563738725147,-0.05621685785018338,-0.03583158156549886,123.15899999999999,70
